,Director(s),Star(s),Votes,Gross,Language(s),Country_of_origin,Production_companies,Poster_image,Release_date,Title,Imdb_rating,Duration,Genre,Summary,MPA_rating
42, Abhishek Kapoor ,"[' Ayushmann Khurrana', ' Vaani Kapoor', ' Yograj Singh', ' Anjan Srivastav']"," 7,654",,['Hindi'],['India'],"['Guy in the Sky Pictures', 'Skywalk Films', 'T-Series Films']",https://m.media-amazon.com/images/M/MV5BZDQxZmFlMWItNGU4ZS00YjcwLWJlMmMtZmQyZTFhOWNkYzg5XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_.jpg,2021-12-10,Chandigarh Kare Aashiqui,['7.0'],['117 min'],"['Comedy, Drama, Romance']","['Manu, a bodybuilder from Chandigarh falls in love with Maanvi, a Zumba teacher. All seems well until a shocking revelation causes turmoil in their love story.']",
43, Michael Showalter ,"[' Jessica Chastain', ' Andrew Garfield', ' Cherry Jones', "" Vincent D'Onofrio""]"," 8,959",,['English'],['United States'],"['Fox Searchlight Pictures', 'Freckle Films', 'MWM Studios']",https://m.media-amazon.com/images/M/MV5BNTg3ZTU5YjAtMGM2OC00YjQzLWE5MTctOGEwMjU0YWY0MmZkXkEyXkFqcGdeQXVyMjgyOTI1ODY@._V1_.jpg,2021-09-17,The Eyes of Tammy Faye,['6.8'],['126 min'],"['Biography, Drama, Romance']","['An intimate look at the extraordinary rise, fall and redemption of televangelist Tammy Faye Bakker.']",
44, Sean Baker ,"[' Simon Rex', ' Bree Elrod', ' Suzanna Son', ' Brenda Deiss']"," 5,747",,['English'],['United States'],"['A24', 'FilmNation Entertainment', 'Cre Film']",https://m.media-amazon.com/images/M/MV5BZjYyZWMyNjYtZjNlNC00NmNhLThjOTItYmViMGU5ZDU4YTM4XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_.jpg,2021-12-17,Red Rocket,['7.4'],['130 min'],"['Comedy, Drama']","['Mikey Saber is a washed-up porn star who returns to his small Texas hometown, not that anyone really wants him back.']",
45, Joachim Trier ,"[' Renate Reinsve', ' Anders Danielsen Lie', ' Maria Grazia Di Meo', ' Herbert Nordrum']"," 8,572",,['Norwegian'],"['Norway', 'France', 'Sweden', 'Denmark']","['Arte France Cinéma', 'B-Reel Films', 'Film i Väst']",https://m.media-amazon.com/images/M/MV5BZmNmNWM5ZGMtYjM0My00NjliLWFlODYtZTY0ZTYzNjgxYjExXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_.jpg,2022-02-04,The Worst Person in the World,['8.0'],['127 min'],"['Comedy, Drama, Romance']","['The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.']",
46, Guy Ritchie ,"[' Jason Statham', ' Holt McCallany', ' Josh Hartnett', ' Rocci Williams']"," 144,633",,['English'],"['United Kingdom', 'United States']","['Metro-Goldwyn-Mayer (MGM)', 'Miramax', 'CAA Media Finance']",https://m.media-amazon.com/images/M/MV5BNGVkOTlhOTktNjZiNS00NDg3LWIxMDAtZTY5Y2E0YjllN2IxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-05-07,Wrath of Man,['7.1'],['119 min'],"['Action, Crime, Thriller']","['The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week.']",
47, Michael Sarnoski ,"[' Nicolas Cage', ' Alex Wolff', ' Adam Arkin', ' Cassandra Violet']"," 50,102",,['English'],"['United States', 'United Kingdom']","['AI-Film', 'Altitude Film', 'BlockBox Entertainment']",https://m.media-amazon.com/images/M/MV5BOTc2NjRmN2QtMGY1Ny00MTc2LWJmMWUtZmViOTkyNjk2NGExXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_.jpg,2021-07-16,Pig,['7.0'],['92 min'],"['Drama, Mystery, Thriller']",['A truffle hunter who lives alone in the Oregonian wilderness must return to his past in Portland in search of his beloved foraging pig after she is kidnapped.'],
48, David Lowery ,"[' Dev Patel', ' Alicia Vikander', ' Joel Edgerton', ' Sarita Choudhury']"," 75,444",,['English'],"['Ireland', 'Canada', 'United States']","['Sailor Bear', 'BRON Studios', 'A24']",https://m.media-amazon.com/images/M/MV5BMjMxNTdiNWMtOWY0My00MjM4LTkwNzMtOGI0YThhN2Q4M2I4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-07-30,The Green Knight,['6.6'],['130 min'],"['Adventure, Drama, Fantasy']",['A fantasy retelling of the medieval story of Sir Gawain and the Green Knight.'],
49, Fran Kranz ,"[' Jason Isaacs', ' Martha Plimpton', ' Ann Dowd', ' Reed Birney']"," 5,162",,['English'],['United States'],"['7 Eccles Street', 'Circa 1888', '5B Productions']",https://m.media-amazon.com/images/M/MV5BZGM3MDg1YzYtMzM0MS00ZGY2LWE4ZjctZDZhYmZlYjVlZGE5XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,2021-10-15,Mass,['7.7'],['111 min'],['Drama'],['Aftermath of a violent tragedy that affects the lives of two couples in different ways.'],
50, Philip Barantini ,"[' Stephen Graham', ' Vinette Robinson', ' Alice Feetham', ' Jason Flemyng']"," 4,022",,['English'],['United Kingdom'],"['Ascendant Films', 'Burton Fox Films', 'White Hot Productions']",https://m.media-amazon.com/images/M/MV5BNzRkOTQ1NWYtY2QxMi00MWQ2LTg5Y2ItNzk5NTBhNDBhNGU1XkEyXkFqcGdeQXVyNDgyMjg4Ng@@._V1_.jpg,2022-01-07,Boiling Point,['7.5'],['92 min'],"['Drama, Thriller']",['Enter the relentless pressure of a restaurant kitchen as a head chef wrangles his team on the busiest day of the year.'],
51, Alan Taylor ,"[' Alessandro Nivola', ' Leslie Odom Jr.', ' Jon Bernthal', ' Vera Farmiga']"," 42,134",,"['English', 'Italian', 'Latin']",['United States'],"['Chase Films', 'HBO Films', 'Home Box Office (HBO)']",https://m.media-amazon.com/images/M/MV5BYmQzNmY3YzItOTE3OC00NGZjLTkwZDYtOWVmM2QyMzhiYTgwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-10-01,The Many Saints of Newark,['6.3'],['120 min'],"['Crime, Drama']","[""Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.""]",
52, Jeymes Samuel ,"[' Jonathan Majors', ' Zazie Beetz', ' RJ Cyler', ' Edi Gathegi']"," 50,757",,['English'],['United States'],"['Overbrook Entertainment', 'Overlook Entertainment', 'Netflix']",https://m.media-amazon.com/images/M/MV5BZTQwYThhZTYtZTQ3MC00NDQ0LWFkZGMtMzdiMTU3OGJiYTY0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,2021-11-03,The Harder They Fall,['6.6'],['139 min'],"['Action, Drama, Western']","['When an outlaw discovers his enemy is being released from prison, he reunites his gang to seek revenge.']",
53, Ryûsuke Hamaguchi ,"[' Hidetoshi Nishijima', ' Tôko Miura', ' Reika Kirishima', ' Yoo-rim Park']"," 6,162",,"['Japanese', 'English', 'Korean Sign Language', 'German', 'Mandarin', 'Tagalog', 'Korean', 'Indonesian']",['Japan'],"['Bitters End', 'Bungei Shunju', 'C&I Entertainment']",https://m.media-amazon.com/images/M/MV5BYTQ0MmJiODMtOGQ5Ni00OTUzLWI0ODUtYjM1YTA1NTMzODc0XkEyXkFqcGdeQXVyODgzNDIwODA@._V1_.jpg,2021-11-24,Drive My Car,['7.9'],['179 min'],['Drama'],['Yusuke Kafuku is a stage actor and director happily married to his playwright wife. Then one day she disappears.'],
54, Tim Kirkby ,"[' Charlie Hunnam', ' Mel Gibson', ' Lucy Fry', ' Rupert Friend']"," 2,196",,['English'],['United States'],"['Head Gear Films', 'MadRiver International', 'Metrol Technology']",https://m.media-amazon.com/images/M/MV5BOTRjMjAzOGMtM2JmNi00YjkxLTk0ZGQtZDE5YjlmNWZhZjNiXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_.jpg,2022-02-04,Last Looks,['5.6'],['110 min'],"['Action, Crime, Mystery']","['A disgraced ex-cop seeks solace by moving to the woods, but his quiet life comes to an end when a private eye recruits him to investigate a murder.']",
55, Martin Campbell ,"[' Michael Keaton', ' Maggie Q', ' Samuel L. Jackson', ' David Rintoul']"," 21,481",,['English'],"['United States', 'United Kingdom']","['Arthur Sarkissian Productions', 'Campbell Grobman Films', 'Fourteen Films']",https://m.media-amazon.com/images/M/MV5BNGQ2MTQ3ZjQtZmRjMS00ZDJmLTlkYWQtOWVhODllYjJiNGUxXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,2021-08-20,The Protégé,['6.1'],['109 min'],"['Action, Thriller']","[""Rescued as a child by the legendary assassin Moody, Anna is the world's most skilled contract killer. However, when Moody is brutally killed, she vows revenge for the man who taught her everything she knows.""]",
56, Matthias Schweighöfer ,"[' Matthias Schweighöfer', ' Nathalie Emmanuel', ' Ruby O. Fee', ' Stuart Martin']"," 61,883",,"['English', 'French', 'German', 'Czech', 'Portuguese']","['Germany', 'United States']","['Pantaleon Films', 'The Stone Quarry', 'Film United']",https://m.media-amazon.com/images/M/MV5BZGRlODFlNTItZWFhZS00NjU5LTliNDUtNjUxMGJhMGZhYjFmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-10-29,Army of Thieves,['6.4'],['127 min'],"['Action, Comedy, Crime']","['A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.']",
57, Julia Ducournau ,"[' Vincent Lindon', ' Agathe Rousselle', ' Garance Marillier', ' Laïs Salameh']"," 26,664",,['French'],"['France', 'Belgium']","['Kazak Productions', 'Frakas Productions', 'Arte France Cinéma']",https://m.media-amazon.com/images/M/MV5BNGJlMTVlYWQtYmM5OC00MDgwLTk3NzAtMGViY2VjOGU0YjlkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-10-01,Titane,['6.7'],['108 min'],"['Drama, Horror, Sci-Fi']","['Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys.']",
58, David Casademunt ,"[' Inma Cuesta', ' Roberto Álamo', ' Asier Flores', ' Alejandra Howard']"," 2,705",,['Spanish'],['Spain'],"['Rodar y Rodar Cine y Televisión', 'Fitzcarraldo Films']",https://m.media-amazon.com/images/M/MV5BZDgwMDA4NDctNjA1OS00MWFlLTg3YjktNTUwMDg3YzE0ZjJlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_.jpg,2022-01-06,The Wasteland,['4.6'],['92 min'],"['Drama, Horror, Mystery']","['The tranquil lives of a family isolated from the rest of society are disturbed by a terrifying creature, testing the ties that bind them together.']",
59, Mamoru Hosoda ,"[' Kaho Nakamura', ' Ryô Narita', ' Shôta Sometani', ' Tina Tamashiro']"," 2,432",,['Japanese'],['Japan'],"['Studio Chizu', 'BookWalker', 'Dentsu']",https://m.media-amazon.com/images/M/MV5BOGU2Yjc0Y2YtMDU0MS00NTFiLTlkMGMtOTcxOWIzMjhkZmZkXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,2022-01-14,Belle,['7.3'],['121 min'],"['Animation, Adventure, Drama']","['Suzu is a shy high school student living in a rural village. For years, she has only been a shadow of herself. But when she enters ""U"", a massive virtual world, she escapes into her online persona as Belle, a globally-beloved singer.']",
60, M. Night Shyamalan ,"[' Gael García Bernal', ' Vicky Krieps', ' Rufus Sewell', ' Alex Wolff']"," 80,679",,['English'],"['United States', 'Japan']","['Universal Pictures', 'Blinding Edge Pictures', 'Perfect World Pictures']",https://m.media-amazon.com/images/M/MV5BMjJjZGRhM2YtNTU4NC00OWMwLThhYWUtMWUxNDNhMDZlOTNmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,2021-07-23,Old,['5.8'],['108 min'],"['Drama, Horror, Mystery']","[""A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.""]",
61, Mike Mills ,"[' Joaquin Phoenix', ' Gaby Hoffmann', ' Woody Norman', ' Scoot McNairy']"," 10,775",,['English'],['United States'],"['A24', 'Be Funny When You Can']",https://m.media-amazon.com/images/M/MV5BMzkwZWJhOTUtZTJkMC00OWQ5LTljZDctYzgxNWFiYjEyZjZiXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,2021-11-26,C'mon C'mon,['7.6'],['109 min'],['Drama'],"['When his sister asks him to look after her son, a radio journalist embarks on a cross-country trip with his energetic nephew to show him life away from Los Angeles.']",
62,"[' Sarah Smith', ' Jean-Philippe Vine', ' Octavio E. Rodriguez ']","[' Jack Dylan Grazer', ' Zach Galifianakis', ' Ed Helms', ' Olivia Colman']"," 21,301",,['English'],"['United States', 'United Kingdom']","['20th Century Studios', 'TSG Entertainment', 'Locksmith Animation']",https://m.media-amazon.com/images/M/MV5BMzMxMjllYTgtZWNjZS00ODc0LTljZWUtYjdiMDQ2ZDJkM2FkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,2021-10-22,Ron's Gone Wrong,['7.1'],['107 min'],"['Animation, Adventure, Comedy']","[""The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship.""]",
63,"[' Andrew Erwin', ' Jon Erwin ']","[' Zachary Levi', ' Anna Paquin', ' Hayden Zaller', "" Ser'Darius Blain""]"," 2,256",,['English'],['United States'],"['City on a Hill Productions', 'Kingdom Story Company', 'Lionsgate']",https://m.media-amazon.com/images/M/MV5BNWE4ODBjNDItYTE1MC00ODg1LTg5MzUtZDRkY2ZiZjQyYTgzXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_.jpg,2021-12-25,American Underdog,['7.5'],['112 min'],"['Biography, Drama, Sport']","['The story of NFL MVP and Hall of Fame quarterback Kurt Warner, who went from stocking shelves at a supermarket to becoming an American Football star.']",
64, Basil Joseph ,"[' Tovino Thomas', ' Guru Somasundaram', ' Aju Varghese', ' Baiju']"," 21,665",,"['Malayalam', 'Kannada', 'Tamil', 'Hindi', 'Telugu']",['India'],['Weekend Blockbusters'],https://m.media-amazon.com/images/M/MV5BNzllYTM0ZDgtZTk4NS00YjYzLTliNjktMjZmNTZmNGZlNzI4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,2021-12-24,Minnal Murali,['8.1'],['158 min'],"['Action, Adventure, Comedy']","['An unusual event creates a lightning which in turns gives superhuman abilies to an ambitious tailor ,whose responsibility is now to protect his home village from the evil plans of the antagonist.']",
65, Zack Snyder ,"[' Henry Cavill', ' Ben Affleck', ' Gal Gadot', ' Amy Adams']"," 356,304",,"['English', 'Icelandic', 'French']",['United States'],"['Atlas Entertainment', 'DC Entertainment', 'HBO Max']",https://m.media-amazon.com/images/M/MV5BYjI3NDg0ZTEtMDEwYS00YWMyLThjYjktMTNlM2NmYjc1OGRiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-03-18,Zack Snyder's Justice League,['8.1'],['242 min'],"['Action, Adventure, Fantasy']","[""Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.""]",
66, Jaume Collet-Serra ,"[' Dwayne Johnson', ' Emily Blunt', ' Edgar Ramírez', ' Jack Whitehall']"," 164,115",,"['English', 'German', 'Spanish', 'Italian', 'Tupi', 'French', 'Portuguese', 'Latin']",['United States'],"['Davis Entertainment', 'Flynn Picture Company', 'Seven Bucks Productions']",https://m.media-amazon.com/images/M/MV5BNDE1MGRlNTQtZjc4ZC00MTI0LWEwY2MtODk1YTM2NmFmYTNmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,2021-07-30,Jungle Cruise,['6.6'],['127 min'],"['Action, Adventure, Comedy']","[""Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.""]",
67, Craig Gillespie ,"[' Emma Stone', ' Emma Thompson', ' Joel Fry', ' Paul Walter Hauser']"," 206,216",,"['English', 'French']",['United States'],"['Walt Disney Pictures', 'Marc Platt Productions', 'Gunn Films']",https://m.media-amazon.com/images/M/MV5BOWI5YTUxOWEtZmRiZS00ZmQxLWE2NzctYTRiODA2NzE1ZjczXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,2021-05-28,Cruella,['7.4'],['134 min'],"['Adventure, Comedy, Crime']",['A live-action prequel feature film following a young Cruella de Vil.'],
68, Randall Okita ,"[' Skyler Davenport', ' Natalie Brown', ' Matthew Gouveia', ' Laura Vandervoort']"," 1,079",,['English'],['Canada'],['Wildling Pictures'],https://m.media-amazon.com/images/M/MV5BNTM0ODM2ZmItMjNjNS00NjI2LWFiNzQtNDVmZGRlODcwM2UwXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_.jpg,2022-01-07,See for Me,['6.0'],['92 min'],"['Crime, Drama, Mystery']","[""When blind former skier Sophie cat-sits in a secluded mansion, three thieves invade for the hidden safe. Sophie's only defense is army veteran Kelly. Kelly helps Sophie defend herself against the invaders to survive.""]",
69, Miguel Sapochnik ,"[' Tom Hanks', ' Caleb Landry Jones', ' Marie Wagenman', ' Lora Martinez-Cunningham']"," 64,594",,['English'],['United States'],"['Amblin Partners', 'Apple Original Films', 'Dutch Angle']",https://m.media-amazon.com/images/M/MV5BZTMxYjk3MmItMzk1OC00NmRhLThlMjYtNmQyNzA0MzgxMWI2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,2021-11-05,Finch,['6.9'],['115 min'],"['Adventure, Drama, Sci-Fi']","[""On a post-apocalyptic Earth, a robot, built to protect the life of his creator's beloved dog learns about life, love, friendship and what it means to be human.""]",
70, Ilya Naishuller ,"[' Bob Odenkirk', ' Aleksey Serebryakov', ' Connie Nielsen', ' Christopher Lloyd']"," 186,028 ", $27.27M,"['English', 'Russian', 'Spanish']","['United States', 'Japan']","['87North', 'Dentsu', 'Eighty Two Films']",https://m.media-amazon.com/images/M/MV5BMjM5YTRlZmUtZGVmYi00ZjE2LWIyNzAtOWVhMDk1MDdkYzhjXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_.jpg,2021-03-26,Nobody,['7.4'],['92 min'],"['Action, Crime, Drama']","['A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him going to a bloody war with a Russian crime boss.']",
71, Justin Lin ,"[' Vin Diesel', ' Michelle Rodriguez', ' Jordana Brewster', ' Tyrese Gibson']"," 111,086 ", $173.20M,['English'],['United States'],"['One Race Films', 'Roth/Kirschenbaum Films', 'Perfect Storm Entertainment']",https://m.media-amazon.com/images/M/MV5BMjI0NmFkYzEtNzU2YS00NTg5LWIwYmMtNmQ1MTU0OGJjOTMxXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_.jpg,2021-06-25,F9: The Fast Saga,['5.2'],['143 min'],"['Action, Crime, Thriller']","[""Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.""]",
72, David Gordon Green ,"[' Jamie Lee Curtis', ' Judy Greer', ' Andi Matichak', ' James Jude Courtney']"," 62,891",,['English'],['United States'],"['Universal Pictures', 'Miramax', 'Blumhouse Productions']",https://m.media-amazon.com/images/M/MV5BM2RmMGY2Y2UtNjA1NS00NGE4LThiNzItMmE1NTk5NzI5NmE0XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,2021-10-15,Halloween Kills,['5.6'],['105 min'],"['Horror, Thriller']",['The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.'],
73, Asif Akbar ,"[' Mickey Rourke', ' Jeff Fahey', ' Michael Jai White', ' Brendan Fehr']", 418,,['English'],['United States'],"['Al Bravo Films', 'Avail Entertainment', 'BondIt Media Capital']",https://m.media-amazon.com/images/M/MV5BYTQ5ZjM3YmQtNTQ4ZC00NzBmLTk5YTUtN2I1NWRhYzcyNzgzXkEyXkFqcGdeQXVyNDA1NDA2NTk@._V1_.jpg,2022-01-28,The Commando,['3.3'],['93 min'],"['Action, Crime, Drama']","[""A DEA agent with PTSD returns home after a botched mission and must now protect his family from a home invasion after a recently freed convict and his henchmen come after their stash of millions inside of the agent's home.""]",
74,"[' Don Hall', ' Carlos López Estrada', ' John Ripa', ' Paul Briggs ']","[' Kelly Marie Tran', ' Awkwafina', ' Gemma Chan', ' Izaac Wang']"," 130,203",,['English'],['United States'],"['Walt Disney Animation Studios', 'Walt Disney Pictures']",https://m.media-amazon.com/images/M/MV5BZWNiOTc4NGItNGY4YS00ZGNkLThkOWEtMDE2ODcxODEwNjkwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-03-05,Raya and the Last Dragon,['7.3'],['107 min'],"['Animation, Action, Adventure']","['In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.']",
75, Valdimar Jóhannsson ,"[' Noomi Rapace', ' Hilmir Snær Guðnason', ' Björn Hlynur Haraldsson', ' Ingvar Sigurdsson']"," 15,765",,['Icelandic'],"['Iceland', 'Poland', 'Sweden']","['Black Spark Film & TV', 'Chimney Poland', 'Chimney Sweden']",https://m.media-amazon.com/images/M/MV5BNzYzZTI2YmQtYmZlOS00NDI0LTg5MTktODJkNzc2Yzg0ZmMxXkEyXkFqcGdeQXVyNTQwOTY1MTg@._V1_.jpg,2021-09-24,Lamb,['6.4'],['106 min'],"['Drama, Fantasy, Horror']","['A childless couple, María and Ingvar discover a mysterious newborn on their farm in Iceland. The unexpected prospect of family life brings them much joy, before ultimately destroying them.']",
76, Jon M. Chu ,"[' Anthony Ramos', ' Corey Hawkins', ' Leslie Grace', ' Melissa Barrera']"," 41,327",,"['English', 'Spanish']",['United States'],"['Warner Bros.', '5000 Broadway Productions', 'Likely Story']",https://m.media-amazon.com/images/M/MV5BMzM1ZDY0YTktZTYzZi00MjZjLTllMDMtMmNlMmM5NmY4ZjllXkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_.jpg,2021-06-11,In the Heights,['7.3'],['143 min'],"['Drama, Musical, Romance']","['A film version of the Broadway musical in which Usnavi, a sympathetic New York bodega owner, saves every penny every day as he imagines and sings about a better life.']",
